YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 09 08 22 50 353 10.7 12.6  1.71  5.56  4.84 343 1017.4  17.0  17.0 999.0 99.0 99.00
2013 09 08 23 50 356  9.7 12.2  2.00  5.88  5.01 351 1017.2  17.1  17.0 999.0 99.0 99.00
2013 09 09 00 50 357  9.8 11.7  1.86  5.88  4.88 342 1017.2  17.2  17.0 999.0 99.0 99.00
2013 09 09 01 50   4 10.1 12.1  1.82  6.25  4.87 347 1016.9  16.8  16.8 999.0 99.0 99.00
2013 09 09 02 50 357 11.4 13.0  1.98  5.56  4.99 354 1016.6  16.3  16.7 999.0 99.0 99.00
2013 09 09 03 50  13 10.9 13.0  1.99  5.88  5.03 355 1017.1  16.1  16.5 999.0 99.0 99.00
2013 09 09 04 50   2 10.6 12.5  2.02  5.88  5.06 345 1017.3  16.1  16.3 999.0 99.0 99.00
2013 09 09 05 50   7 10.8 12.4  1.96  5.88  5.04 356 1017.3  16.0  16.0 999.0 99.0 99.00
2013 09 09 06 50   5 10.7 13.0  1.89  5.88  4.93   3 1017.3  15.8  15.8 999.0 99.0 99.00
2013 09 09 07 50   8 10.3 12.4  1.91  5.88  5.07   2 1017.2  15.7  15.4 999.0 99.0 99.00
2013 09 09 08 50   8 10.5 12.7  1.93  5.88  5.00 354 1017.1  15.4  15.1 999.0 99.0 99.00
2013 09 09 09 50   1 10.6 13.3  1.80  5.88  4.95 348 1016.7  15.5  14.9 999.0 99.0 99.00
2013 09 09 10 50   5  9.2 11.8  1.81  5.88  5.01 357 1016.7  15.4  14.8 999.0 99.0 99.00
2013 09 09 11 50   5 10.6 12.4  1.75  6.25  4.93 335 1016.7  15.6  14.8 999.0 99.0 99.00
2013 09 09 12 50   4 10.7 13.1  1.79  5.88  4.92 349 1016.7  15.6  14.8 999.0 99.0 99.00
2013 09 09 13 50   4 10.2 12.5  1.78  6.25  5.08 348 1016.9  15.7  15.1 999.0 99.0 99.00
2013 09 09 14 50   3  8.7 11.3  1.67  5.88  5.10 346 1017.1  15.7  15.2 999.0 99.0 99.00
2013 09 09 15 50  14  6.1  7.7  1.61  5.88  5.25 340 1017.4  15.7  15.2 999.0 99.0 99.00
2013 09 09 16 50  11  5.9  7.8  1.69  5.88  5.27 332 1017.5  15.6  15.2 999.0 99.0 99.00
2013 09 09 17 50  13  6.7  8.6  1.67  5.56  5.17 339 1017.3  15.6  15.2 999.0 99.0 99.00
2013 09 09 18 50  13  7.2  9.0  1.54  5.88  5.06 339 1017.2  15.4  15.0 999.0 99.0 99.00
